Reference,Verse,Topics
Matthew 22:39,And the second is equally important: ‘Love your neighbor as yourself.’,Love|Neighbor|Commandment
Ephesians 5:1-2,"Imitate God, therefore, in everything you do, because you are his dear children. Live a life filled with love, following the example of Christ. He loved us and offered himself as a sacrifice for us, a pleasing aroma to God.",Love|Imitation|Sacrifice
Matthew 6:34,"So don’t worry about tomorrow, for tomorrow will bring its own worries. Today’s trouble is enough for today.",Anxiety|Trust|Peace
Romans 15:7,"Therefore, accept each other just as Christ has accepted you so that God will be given glory.",Acceptance|Love|Glory
John 15:11,"I have told you these things so that you will be filled with my joy. Yes, your joy will overflow!",Joy|Assurance|Fulfillment
Psalm 119:50,Your promise revives me; it comforts me in all my troubles.,Comfort|Promise|Life
John 15:12,This is my commandment: Love each other in the same way I have loved you.,Love|Commandment|Community
Psalm 118:24,This is the day the Lord has made. We will rejoice and be glad in it.,Joy|Rejoice|God
1 Peter 1:8-9,"You love him even though you have never seen him. Though you do not see him now, you trust him; and you rejoice with a glorious, inexpressible joy. The reward for trusting him will be the salvation of your souls.",Faith|Joy|Salvation
Proverbs 15:23,Everyone enjoys a fitting reply; it is wonderful to say the right thing at the right time!,Words|Encouragement|Timing
Proverbs 22:6,"Direct your children onto the right path, and when they are older, they will not leave it.",Training|Guidance|Legacy
Psalm 119:143,"As pressure and stress bear down on me, I find joy in your commands.",Joy|Obedience|Trials
Proverbs 3:5-6,"Trust in the Lord with all your heart; do not depend on your own understanding. Seek his will in all you do, and he will show you which path to take.",Trust|Guidance|Understanding
Psalm 119:37,"Turn my eyes from worthless things, and give me life through your word.",Focus|Life|Word
John 16:24,"You haven’t done this before. Ask, using my name, and you will receive, and you will have abundant joy.",Prayer|Joy|Fulfillment
Psalm 27:14,"Wait patiently for the Lord. Be brave and courageous. Yes, wait patiently for the Lord.",Patience|Courage|Trust
Romans 8:31,"What shall we say about such wonderful things as these? If God is for us, who can ever be against us?",Assurance|Protection|God
Colossians 3:23-24,"Work willingly at whatever you do, as though you were working for the Lord rather than for people. Remember that the Lord will give you an inheritance as your reward, and that the Master you are serving is Christ.",Work|Service|Reward
Proverbs 16:7,"When people’s lives please the Lord, even their enemies are at peace with them.",Peace|Righteousness|Influence
Psalm 119:59,"I pondered the direction of my life, and I turned to follow your laws.",Obedience|Reflection|Guidance
Proverbs 11:2,"Pride leads to disgrace, but with humility comes wisdom.",Pride|Humility|Wisdom
Psalm 94:19,"When doubts filled my mind, your comfort gave me renewed hope and cheer.",Comfort|Hope|Doubt
Psalm 34:17,The Lord hears his people when they call to him for help. He rescues them from all their troubles.,Prayer|Deliverance|Righteousness
John 16:13,"When the Spirit of truth comes, he will guide you into all truth. He will not speak on his own but will tell you what he has heard. He will tell you about the future.",Truth|Guidance|Spirit
Proverbs 11:25,The generous will prosper; those who refresh others will themselves be refreshed.,Generosity|Blessing|Community
Proverbs 16:20,Those who listen to instruction will prosper; those who trust the Lord will be joyful.,Trust|Blessing|Obedience
Proverbs 14:29,People with understanding control their anger; a hot temper shows great foolishness.,Anger|Wisdom|Temper
Proverbs 16:32,Better to be patient than powerful; better to have self-control than to conquer a city.,Patience|Strength|Control
Proverbs 21:21,"Whoever pursues righteousness and unfailing love will find life, righteousness, and honor.",Righteousness|Love|Life
Proverbs 13:20,Walk with the wise and become wise; associate with fools and get in trouble.,Wisdom|Influence|Relationships
Psalm 42:11,Why am I discouraged? Why is my heart so sad? I will put my hope in God! I will praise him again—my Savior and my God!,Hope|Faith|Assurance
Ephesians 4:2-3,"Always be humble and gentle. Be patient with each other, making allowance for each other’s faults because of your love. Make every effort to keep yourselves united in the Spirit, binding yourselves together with peace.",Humility|Patience|Love
Proverbs 15:22,Plans go wrong for lack of advice; many advisers bring success.,Guidance|Success|Community
Psalm 119:114,You are my refuge and my shield; your word is my source of hope.,Protection|Hope|Word
Matthew 5:14,You are the light of the world—like a city on a hilltop that cannot be hidden.,Light|Influence|Visibility
John 15:16,"You didn’t choose me. I chose you. I appointed you to go and produce lasting fruit, so that the Father will give you whatever you ask for, using my name.",Purpose|Fruit|Prayer
Isaiah 26:3,"You will keep in perfect peace all who trust in you, all whose thoughts are fixed on you!",Peace|Trust|Focus
Psalm 119:73,You made me; you created me. Now give me the sense to follow your commands.,Creation|Understanding|Obedience
Psalm 119:105,Your word is a lamp to guide my feet and a light for my path.,Guidance|Light|Word
